Ivan,Angel (2003), Gosho, from: Journal-2, vol: 32, iss: 312, ACM, doi: sd53gs
Jason Adair, (2015), Title-B-0, from: journal-s, vol: 9, iss: 98, ACM, doi: 533/49
Kevin Bacon, (2007), Title-G-1, from: journal-x, vol: 5, iss: 5, IEEE, doi: 580/491
Saemi Haraldsson, (2004), Title-F-2, from: journal-z, vol: 5, iss: 1, Springer, doi: 1045/875
Jason Adair, (2008), Title-D-3, from: journal-s, vol: 2, iss: 5, Springer, doi: 173/1568
Heidi Brynjolfsdottir, (2018), Title-G-4, from: journal-q, vol: 7, iss: 1, ACM, doi: 628/863
Saemi Haraldsson, (2001), Title-F-5, from: journal-p, vol: 6, iss: 6, IEEE, doi: 291/626
Kevin Bacon, (2016), Title-A-6, from: journal-z, vol: 5, iss: 7, Springer, doi: 888/1206
Jason Adair, (2014), Title-A-7, from: journal-t, vol: 3, iss: 1, IEEE, doi: 1745/1497
Jason Adair, (2009), Title-E-8, from: journal-x, vol: 5, iss: 2, ACM, doi: 1205/211
Saemi Haraldsson, (2016), Title-G-9, from: journal-y, vol: 4, iss: 7, Elsevier, doi: 1677/1735
Jason Adair, (1999), Title-H-10, from: journal-x, vol: 9, iss: 5, ACM, doi: 1705/733
Heidi Brynjolfsdottir, (2012), Title-E-11, from: journal-s, vol: 4, iss: 6, IEEE, doi: 1163/629
Jason Adair, (2000), Title-E-12, from: journal-q, vol: 2, iss: 5, Springer, doi: 67/1418
Heidi Brynjolfsdottir, (2020), Title-D-13, from: journal-z, vol: 3, iss: 3, ACM, doi: 969/1735
Kevin Bacon, (2011), Title-C-14, from: journal-t, vol: 6, iss: 2, IEEE, doi: 1267/1182
Kevin Bacon, (2020), Title-G-15, from: journal-s, vol: 4, iss: 1, Elsevier, doi: 1241/1087
Heidi Brynjolfsdottir, (2004), Title-H-16, from: journal-y, vol: 7, iss: 7, IEEE, doi: 1020/96
Jason Adair, (2012), Title-C-17, from: journal-s, vol: 8, iss: 7, ACM, doi: 1926/268
Kevin Bacon, (2001), Title-F-18, from: journal-s, vol: 6, iss: 8, ACM, doi: 1866/1913
Heidi Brynjolfsdottir, (2000), Title-A-19, from: journal-s, vol: 2, iss: 9, IEEE, doi: 566/238
Jason Adair, (2004), Title-H-20, from: journal-s, vol: 1, iss: 2, ACM, doi: 1689/1303
Saemi Haraldsson, (2016), Title-G-21, from: journal-s, vol: 4, iss: 3, Springer, doi: 336/1717
Saemi Haraldsson, (2006), Title-H-22, from: journal-t, vol: 2, iss: 4, Springer, doi: 1935/1932
Heidi Brynjolfsdottir, (1999), Title-C-23, from: journal-t, vol: 3, iss: 1, IEEE, doi: 720/600
Kevin Bacon, (2001), Title-B-24, from: journal-x, vol: 4, iss: 7, Springer, doi: 670/896
